Cup,05/01/25,U12,Warmley Rangers Youth U12 Greens,Hillside,U12 Cup_2024 - 2025,
L,05/01/25,U10,Downend Saints Youth U10,Hillside,U10 Group 5,
L,12/01/25,U18 Youth,Brislington Junior Youth U18 a,Hillside,Division 2,
L,12/01/25,U11,Port of Bristol Youth U11 Purples,Hillside,U11 Group 2,
L,12/01/25,U13 Blacks,Longwell Green Sports Youth U13,Hillside,U13 Div 1,
L,12/01/25,U13 Reds,Port of Bristol Youth U13 Green,Hillside,U13 Div 4,
L,12/01/25,U16 Colts,Yate United Youth U16,Hillside,U16 Div 4,
L,12/01/25,U15,Hutton Juniors Youth U15 Wanderers,Hillside,U15 Div 2,
L,12/01/25,U15 Colts,Bristol Rovers Supporters Youth U15,Hillside,U15 Div 5,
L,19/01/25,U18 Youth,Bromley Heath United Youth U18,Hillside,Division 2,
L,19/01/25,U16,Longwell Green Sports Youth U16 Athletic,Hillside,U16 Div 1 (White),
L,19/01/25,U14,St Aldhelms Juniors Youth U14 Clarets,Hillside,U14 Div 1,
L,19/01/25,U14 Reds,Avon Athletic Youth U14,Hillside,U14 Div 2,
L,19/01/25,U12,AEK Boco Youth U12,Hillside,U12 Div 2,
L,19/01/25,U10,Warmley Rangers Youth U10 Whites,Hillside,U10 Group 5,
L,26/01/25,U17 Youth,Portishead Town (Youth) U18 Rangers,Hillside,Division 2,
L,26/01/25,U11,Mangotsfield United Youth U11 United,Hillside,U11 Group 2,
L,26/01/25,U13 Blacks,Bristol Rovers Supporters Youth U13,Hillside,U13 Div 1,
L,26/01/25,U16 Colts,Whitchurch Sports Junior Yth U16 Rangers,Hillside,U16 Div 4,
L,26/01/25,U14 Reds,Almondsbury United Youth U14 Greens,Hillside,U14 Div 2,
L,26/01/25,U12 Colts,Bradley Stoke Youth U12,Hillside,U12 Div 4,
L,02/02/25,U17 Youth,Bromley Heath United Youth U18,Hillside,Division 2,
L,02/02/25,U13 Blacks,Bristol Central Youth U13,Hillside,U13 Div 1,
L,02/02/25,U13 Reds,Warmley Rangers Youth U13 Greens,Hillside,U13 Div 4,
L,02/02/25,U14,Whitchurch Sports Junior Youth U14,Hillside,U14 Div 1,
L,02/02/25,U12,Westfield Youth U12 Reds,Hillside,U12 Div 2,
L,02/02/25,U15,Bristol Central Youth U15 Cowboys,Hillside,U15 Div 2,
L,02/02/25,U10,Bromley Heath United Youth U10,Hillside,U10 Group 5,
L,09/02/25,U17 Youth,Wessex Wanderers Youth U18,Hillside,Division 2,
L,09/02/25,U18 Youth,Portishead Town (Youth) U18 Rangers,Hillside,Division 2,|Match Notes:
GFA Cup 29-09-24|
L,09/02/25,U13 Reds,Brislington Junior Youth U13,Hillside,U13 Div 4,
L,09/02/25,U16 Colts,Shirehampton Colts Youth U16 Blacks,Hillside,U16 Div 4,
L,09/02/25,U14 Reds,Banwell Juniors Youth U14 United,Hillside,U14 Div 2,
L,09/02/25,U12 Colts,Longwell Green Sports Youth U12 Saints,Hillside,U12 Div 4,
L,02/03/25,U18 Youth,Cotham Park Rangers Youth U18,Hillside,Division 2,
L,02/03/25,U13 Blacks,St Aldhelms Juniors Youth U13 Clarets,Hillside,U13 Div 1,
L,02/03/25,U13 Reds,Thornbury Town Youth U13 Falcons,Hillside,U13 Div 4,
L,02/03/25,U12,Warmley Rangers Youth U12 Greens,Hillside,U12 Div 2,
L,02/03/25,U15,Keynsham Town Junior Youth U15 Colts,Hillside,U15 Div 2,
L,02/03/25,U15 Colts,Mangotsfield United Youth U15,Hillside,U15 Div 5,
L,09/03/25,U14 Reds,AEK Boco Youth U14 Juniors,Hillside,U14 Div 2,
L,16/03/25,U18 Youth,Saltford Youth U18,Hillside,Division 2,|Match Notes:
Somerset Cup 20-10-24|
L,16/03/25,U13 Reds,Bradley Stoke Youth U13,Hillside,U13 Div 4,
L,16/03/25,U16,Bristol Central Youth U16,Hillside,U16 Div 1 (White),
